<https://dblp.org/rec/conf/csfw/GargP06>,"""Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA"""
<https://dblp.org/rec/conf/csfw/GargP06>,"""Max Planck Institute for Software Systems, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/RussoS06>,"""Chalmers University of Technology, Gothenburg, Sweden"""
<https://dblp.org/rec/conf/csfw/LainM06>,"""Hewlett Packard Enterprise Labs, Bristol, UK"""
<https://dblp.org/rec/conf/csfw/DelauneKR06>,"""ENS Cachan, Paris, France"""
<https://dblp.org/rec/conf/csfw/HuismanWS06>,"""University of Twente"""
<https://dblp.org/rec/conf/csfw/LainM06>,"""Hewlett Packard Enterprise Labs, Palo Alto, CA, USA"""
<https://dblp.org/rec/conf/csfw/BhargavanFGT06>,"""INRIA, France"""
<https://dblp.org/rec/conf/csfw/SasturkarYSR06>,"""State University of New York at Binghamton, NY, USA"""
<https://dblp.org/rec/conf/csfw/SasturkarYSR06>,"""State University of New York at Stony Brook, NY, USA"""
<https://dblp.org/rec/conf/csfw/BartolettiDF06>,"""University of Pisa, Italy"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""Fraunhofer-Institut für sichere Informationstechnologie SIT, Germany"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""National Research Center for Applied Cybersecurity ATHENE, germany"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""Technische Universität Darmstadt, Germany"""
<https://dblp.org/rec/conf/csfw/LiZ06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/SwamyHTZ06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/ChaudhuriA06>,"""University of California, Santa Cruz, USA"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""ETH Zurich, Switzerland"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""CISPA Helmholtz Center for Information Security, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""Saarland University, Computer Science Department, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/CramptonMW06>,"""Royal Holloway, University of London, UK"""
<https://dblp.org/rec/conf/csfw/Choo06>,"""University of South Australia, Australia"""
<https://dblp.org/rec/conf/csfw/Choo06>,"""University of Texas at San Antonio, USA"""
<https://dblp.org/rec/conf/csfw/DattaDMW06>,"""Carnegie Mellon University, Pittsburgh, USA"""
<https://dblp.org/rec/conf/csfw/BhargavanFGT06>,"""Microsoft Research"""
<https://dblp.org/rec/conf/csfw/BartolettiDF06>,"""University of Pisa, Computer Science Department"""
<https://dblp.org/rec/conf/csfw/ZhouF06>,"""University College Cork, Ireland"""
<https://dblp.org/rec/conf/csfw/BhargavanFGT06>,"""Microsoft Research"""
<https://dblp.org/rec/conf/csfw/MayGL06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/MayGL06>,"""University of Illinois, Urbana-Champaign, IL, USA"""
<https://dblp.org/rec/conf/csfw/SwamyHTZ06>,"""University of Maryland, College Park, MD, USA"""
<https://dblp.org/rec/conf/csfw/RubinJM06>,"""University of Wisconsin-Madison, Madison, USA"""
<https://dblp.org/rec/conf/csfw/Kusters06>,"""University of Stuttgart, Germany"""
<https://dblp.org/rec/conf/csfw/Kusters06>,"""University of Trier, Department of Computer Science, Germany"""
<https://dblp.org/rec/conf/csfw/DelauneKR06>,"""INRIA Nancy - Grand Est, France"""
<https://dblp.org/rec/conf/csfw/DelauneKR06>,"""ENS Cachan, Paris, France"""
<https://dblp.org/rec/conf/csfw/MayGL06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/ChongM06>,"""Cornell University, Department of Computer Science, Ithaca, NY, USA"""
<https://dblp.org/rec/conf/csfw/ChongM06>,"""Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"""
<https://dblp.org/rec/conf/csfw/RubinJM06>,"""University of Wisconsin-Madison, Madison, USA"""
<https://dblp.org/rec/conf/csfw/DattaDMW06>,"""Stanford University, Department of Computer Science"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""IBM Research Zurich, Switzerland"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""University of Hildesheim, Germany"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""Saarland University, Department of Computer Science, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/GargP06>,"""Carnegie Mellon University, Pittsburgh, PA, USA"""
<https://dblp.org/rec/conf/csfw/PucellaS06>,"""Northeastern University, Boston, USA"""
<https://dblp.org/rec/conf/csfw/SasturkarYSR06>,"""Stony Brook University, USA"""
<https://dblp.org/rec/conf/csfw/DelauneKR06>,"""Imperial College, London, UK"""
<https://dblp.org/rec/conf/csfw/MukhamedovR06>,"""Imperial College, London, UK"""
<https://dblp.org/rec/conf/csfw/DelauneKR06>,"""University of Birmingham, UK"""
<https://dblp.org/rec/conf/csfw/MukhamedovR06>,"""University of Birmingham, UK"""
<https://dblp.org/rec/conf/csfw/RussoS06>,"""Chalmers University of Technology, Gothenburg, Sweden"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""EPF Lausanne, Switzerland"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""ETH Zurich, Switzerland"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""INRIA Sophia Antipolis, France"""
<https://dblp.org/rec/conf/csfw/SprengerBBPW06>,"""Swedish Institute of Computer Science (SICS), Stockholm, Sweden"""
<https://dblp.org/rec/conf/csfw/HedinS06>,"""Chalmers University of Technology, Gothenburg, Sweden"""
<https://dblp.org/rec/conf/csfw/PucellaS06>,"""Cornell University, Ithaca, USA"""
<https://dblp.org/rec/conf/csfw/SwamyHTZ06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/BhargavanFGT06>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/CervesatoMP05>,"""University of Hawaii, Honolulu, HI, USA"""
<https://dblp.org/rec/conf/csfw/BackesD05>,"""Saarland University, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/AdaoBS05>,"""University of Pennsylvania"""
<https://dblp.org/rec/conf/csfw/AbadiC05>,"""CNRS, France"""
<https://dblp.org/rec/conf/csfw/HofheinzMU05>,"""Karlsruhe Institute of Technology, Germany"""
<https://dblp.org/rec/conf/csfw/BartolettiDF05>,"""University of Pisa, Italy"""
<https://dblp.org/rec/conf/csfw/LiZ05>,"""University of Pennsylvania, Philadelphia, PA, USA"""
<https://dblp.org/rec/conf/csfw/CervesatoMP05>,"""Naval Research Laboratory (NRL), Washington DC, USA"""
<https://dblp.org/rec/conf/csfw/AbadiC05>,"""University of California, Santa Cruz, USA"""
<https://dblp.org/rec/conf/csfw/AllamigeonB05>,"""ENS Paris, France"""
<https://dblp.org/rec/conf/csfw/ZhaoB05>,"""University of Wisconsin-Milwaukee, USA"""
<https://dblp.org/rec/conf/csfw/BackesDDMT05>,"""CISPA Helmholtz Center for Information Security, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/BackesD05>,"""Saarland University, Computer Science Department, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/BackesD05>,"""CISPA Helmholtz Center for Information Security, Saarbrücken, Germany"""
<https://dblp.org/rec/conf/csfw/BackesDDMT05>,"""Saarland University, Computer Science Department, Saarbrücken, Germany"""
